"muniYear","IM","POB_TOT"
"01001_2015",-1.676,877190
"01001_2010",-1.768,797010
"01001_2005",-1.831,723043
"01001_2000",-1.871,643419
"01001_1995",-1.735,582827
"01001_1990",-1.833,506274
"01005_2015",-1.256,120405
"01005_2010",-1.262,99590
"01005_2005",-1.234,82623
"01005_2000",-1.141,64097
"01003_2015",-0.698,56048
"01005_1995",-0.972,54476
"01003_2010",-0.754,54136
"01007_2015",-1.045,53866
"01003_1995",-1.105,51658
"01003_2000",-0.811,51291
"01003_2005",-0.875,50183
"01007_2010",-1.035,49156
"01003_1990",-0.957,48440
"01006_2015",-1.129,46473
"01002_2015",-0.565,46464
"01011_2015",-1.156,46454
"01002_2010",-0.463,45492
"01007_2005",-1.136,45471
"01006_2010",-1.245,41862
"01007_2000",-1.124,41655
"01005_1990",-0.895,41092
"01002_2005",-0.62,40547
"01006_2005",-1.306,38912
"01007_1995",-0.985,38752
"01002_2000",-0.584,37763
"01011_2010",-1.144,35769
"01002_1995",-0.709,35762
"01006_2000",-1.361,34296
"01007_1990",-0.947,33781
"01002_1990",-0.383,32225
"01006_1995",-1.196,31650
"01011_2005",-1.153,28832
"01006_1990",-1.263,26051
"01009_2015",-0.595,20926
"01010_2015",-0.614,20245
"01011_2000",-1.072,20066
"01009_2010",-0.609,19668
"01010_2010",-0.672,18828
"01011_1995",-1.285,17836
"01009_2005",-0.722,17372
"01010_2005",-0.641,17115
"01009_2000",-0.656,16508
"01009_1995",-0.85,16175
"01004_2015",-0.674,15577
"01010_2000",-0.519,15327
"01004_2010",-0.648,15042
"01009_1990",-0.597,14809
"01010_1995",-0.776,14278
"01004_2005",-0.747,13687
"01004_2000",-0.771,12619
"01004_1995",-0.772,12136
"01004_1990",-0.537,10247
"01008_2015",-0.735,8896
"01008_2010",-0.753,8443
"01008_2005",-0.81,7631
"01008_2000",-0.766,7244
"01008_1995",-0.738,7170
"01008_1990",-0.477,6740
"02004_2015",-1.708,1641570
"02004_2010",-1.817,1559683
"02004_2005",-1.926,1410687
"02004_2000",-1.96,1210820
"02004_1995",-1.797,991592
"02002_2015",-1.648,988417
"02002_2010",-1.754,936826
"02002_2005",-1.898,855962
"02002_2000",-1.923,764602
"02004_1990",-1.978,747381
"02002_1995",-1.716,696034
"02002_1990",-1.979,601938
"02001_2015",-1.323,486639
"02001_2010",-1.361,466814
"02001_2005",-1.609,413481
"02001_2000",-1.581,370730
"02001_1995",-1.51,315289
"02001_1990",-1.821,259979
"02003_2015",-1.408,102406
"02003_2010",-1.495,101079
"02005_2015",-1.463,96734
"02003_2005",-1.626,91034
"02005_2010",-1.488,90668
"02003_2000",-1.634,77795
"02005_2005",-1.546,73305
"02005_2000",-1.572,63420
"02003_1995",-1.587,62629
"02003_1990",-1.711,51557
"02005_1995",-1.365,46596
"03008_2015",-1.296,287671
"03003_2015",-1.658,272711
"03003_2010",-1.745,251871
"03008_2010",-1.46,238487
"03003_2005",-1.775,219596
"03003_2000",-1.768,196907
"03003_1995",-1.569,182418
"03008_2005",-1.515,164162
"03003_1990",-1.89,160970
"03008_2000",-1.585,105469
"03001_1990",-1.377,74346
"03001_2015",-1.017,72564
"03008_1995",-1.33,71031
"03001_2010",-1.2,70816
"03001_1995",-1.07,66096
"03001_2000",-1.199,63864
"03001_2005",-1.245,63830
"03002_2015",-1.051,60171
"03002_2010",-1.087,59114
"03002_2005",-1.2,52743
"03002_2000",-1.226,45989
"03002_1995",-1.396,45963
"03008_1990",-1.491,43920
"03002_1990",-1.485,38528
"03009_2015",-1.345,18912
