"edo","entidad","decada","tot_s","min_a","max_a","mean_a","min_d","max_d","mean_d","min_e","max_e","mean_e","tot_c","min_td","max_td","mean_td","min_h","max_h","mean_h"
"01","Aguascalientes",1,66,1,1,1,0,0,0,0,0,0,66,55,55,55,55,55,55
"01","Aguascalientes",2,110,20,20,20,33,33,33,0,0,0,110,7,7,7,29,29,29
"01","Aguascalientes",3,66,44,44,44,0,0,0,0,0,0,11,0,0,0,0,0,0
"02","Baja California",1,30,6,6,6,25,25,25,2,2,2,30,15,15,15,21,21,21
"02","Baja California",2,50,5,5,5,6,6,6,0,0,0,50,7,7,7,7,7,7
"02","Baja California",3,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"03","Baja California Sur",1,30,0,0,0,0,0,0,0,0,0,30,0,0,0,15,15,15
"03","Baja California Sur",2,50,3,3,3,8,8,8,0,0,0,50,0,0,0,10,10,10
"03","Baja California Sur",3,30,8,8,8,3,3,3,0,0,0,5,0,0,0,0,0,0
"04","Campeche",1,66,0,0,0,0,0,0,4,4,4,66,0,0,0,44,44,44
"04","Campeche",2,110,0,0,0,0,0,0,10,10,10,110,0,0,0,0,0,0
"04","Campeche",3,66,0,0,0,0,0,0,5,5,5,11,0,0,0,0,0,0
"05","Coahuila",1,228,22,22,22,22,22,22,228,228,228,228,228,228,228,228,228,228
"05","Coahuila",2,380,37,37,37,252,252,252,372,372,372,380,380,380,380,380,380,380
"05","Coahuila",3,228,117,117,117,0,0,0,119,119,119,38,38,38,38,38,38,38
"06","Colima",1,60,1,1,1,10,10,10,10,10,10,60,35,35,35,40,40,40
"06","Colima",2,100,4,4,4,0,0,0,0,0,0,100,0,0,0,0,0,0
"06","Colima",3,60,11,11,11,2,2,2,0,0,0,10,0,0,0,0,0,0
"07","Chiapas",1,738,67,67,67,58,58,58,738,738,738,738,58,58,58,391,391,391
"07","Chiapas",2,1230,57,57,57,62,62,62,887,887,887,1230,50,50,50,50,50,50
"07","Chiapas",3,738,620,620,620,30,30,30,30,30,30,123,5,5,5,5,5,5
"08","Chihuahua",1,402,1,1,1,0,0,0,34,34,34,402,39,39,39,164,164,164
"08","Chihuahua",2,670,0,0,0,0,0,0,30,30,30,670,26,26,26,26,26,26
"08","Chihuahua",3,402,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
"09","CDMX",1,96,32,32,32,96,96,96,96,96,96,96,0,0,0,0,0,0
"09","CDMX",2,160,0,0,0,160,160,160,160,160,160,160,0,0,0,0,0,0
"09","CDMX",3,96,0,0,0,96,96,96,48,48,48,16,0,0,0,0,0,0
"10","Durango",1,234,6,6,6,0,0,0,38,38,38,234,226,226,226,226,226,226
"10","Durango",2,390,28,28,28,40,40,40,7,7,7,390,147,147,147,148,148,148
"10","Durango",3,234,136,136,136,101,101,101,0,0,0,39,0,0,0,4,4,4
"11","Guanajuato",1,276,29,29,29,184,184,184,0,0,0,276,0,0,0,138,138,138
"11","Guanajuato",2,460,16,16,16,368,368,368,0,0,0,460,0,0,0,0,0,0
"11","Guanajuato",3,276,10,10,10,276,276,276,0,0,0,46,0,0,0,0,0,0
"12","Guerrero",1,486,243,243,243,161,161,161,163,163,163,486,76,76,76,76,76,76
"12","Guerrero",2,810,461,461,461,524,524,524,479,479,479,810,12,12,12,13,13,13
"12","Guerrero",3,486,39,39,39,324,324,324,0,0,0,81,0,0,0,0,0,0
"13","Hidalgo",1,504,274,274,274,22,22,22,101,101,101,504,387,387,387,406,406,406
"13","Hidalgo",2,840,590,590,590,723,723,723,175,175,175,840,420,420,420,420,420,420
"13","Hidalgo",3,504,114,114,114,53,53,53,0,0,0,84,0,0,0,0,0,0
"14","Jalisco",1,750,336,336,336,635,635,635,352,352,352,750,542,542,542,574,574,574
"14","Jalisco",2,1250,461,461,461,841,841,841,94,94,94,1250,993,993,993,993,993,993
"14","Jalisco",3,750,287,287,287,704,704,704,3,3,3,125,0,0,0,0,0,0
"15","Estado de México",1,750,117,117,117,750,750,750,140,140,140,750,15,15,15,140,140,140
"15","Estado de México",2,1250,172,172,172,1146,1146,1146,90,90,90,1250,20,20,20,20,20,20
"15","Estado de México",3,750,0,0,0,46,46,46,125,125,125,125,0,0,0,0,0,0
"16","Michoacán",1,678,420,420,420,677,677,677,146,146,146,678,191,191,191,191,191,191
"16","Michoacán",2,1130,1122,1122,1122,1123,1123,1123,27,27,27,1130,0,0,0,0,0,0
"16","Michoacán",3,678,456,456,456,530,530,530,3,3,3,113,0,0,0,0,0,0
"17","Morelos",1,198,117,117,117,198,198,198,64,64,64,198,99,99,99,165,165,165
"17","Morelos",2,330,257,257,257,297,297,297,0,0,0,330,66,66,66,66,66,66
"17","Morelos",3,198,0,0,0,3,3,3,0,0,0,33,0,0,0,0,0,0
"18","Nayarit",1,120,4,4,4,0,0,0,0,0,0,120,2,2,2,22,22,22
"18","Nayarit",2,200,36,36,36,0,0,0,0,0,0,200,0,0,0,0,0,0
"18","Nayarit",3,120,53,53,53,0,0,0,0,0,0,20,0,0,0,0,0,0
"19","Nuevo León",1,306,0,0,0,306,306,306,306,306,306,306,175,175,175,175,175,175
"19","Nuevo León",2,510,153,153,153,377,377,377,510,510,510,510,154,154,154,154,154,154
"19","Nuevo León",3,306,204,204,204,102,102,102,153,153,153,51,0,0,0,0,0,0
"20","Oaxaca",1,3600,181,181,181,180,180,180,3600,3600,3600,3600,180,180,180,750,750,750
"20","Oaxaca",2,6000,437,437,437,1045,1045,1045,4290,4290,4290,6000,666,666,666,666,666,666
"20","Oaxaca",3,3600,2458,2458,2458,1640,1640,1640,180,180,180,600,30,30,30,30,30,30
"21","Puebla",1,1302,257,257,257,0,0,0,922,922,922,1302,383,383,383,411,411,411
"21","Puebla",2,2170,28,28,28,14,14,14,1207,1207,1207,2170,0,0,0,0,0,0
"21","Puebla",3,1302,4,4,4,0,0,0,1,1,1,217,0,0,0,0,0,0
"22","Querétaro",1,108,27,27,27,0,0,0,108,108,108,108,55,55,55,62,62,62
"22","Querétaro",2,180,8,8,8,95,95,95,108,108,108,180,0,0,0,18,18,18
"22","Querétaro",3,108,6,6,6,29,29,29,0,0,0,18,0,0,0,0,0,0
"23","Quintana Roo",1,66,14,14,14,12,12,12,52,52,52,66,12,12,12,20,20,20
"23","Quintana Roo",2,110,29,29,29,20,20,20,28,28,28,110,20,20,20,20,20,20
"23","Quintana Roo",3,66,2,2,2,5,5,5,5,5,5,11,2,2,2,2,2,2
"24","San Luis Potosí",1,348,64,64,64,232,232,232,290,290,290,348,159,159,159,252,252,252
"24","San Luis Potosí",2,580,139,139,139,348,348,348,19,19,19,580,6,6,6,6,6,6
"24","San Luis Potosí",3,348,174,174,174,0,0,0,3,3,3,58,0,0,0,0,0,0
"25","Sinaloa",1,108,0,0,0,0,0,0,108,108,108,108,0,0,0,18,18,18
"25","Sinaloa",2,180,0,0,0,0,0,0,180,180,180,180,0,0,0,0,0,0
"25","Sinaloa",3,108,26,26,26,45,45,45,18,18,18,18,0,0,0,0,0,0
"26","Sonora",1,432,144,144,144,72,72,72,432,432,432,432,74,74,74,74,74,74
"26","Sonora",2,720,216,216,216,216,216,216,720,720,720,720,0,0,0,2,2,2
"26","Sonora",3,432,216,216,216,0,0,0,72,72,72,72,0,0,0,0,0,0
"27","Tabasco",1,102,0,0,0,0,0,0,8,8,8,102,34,34,34,34,34,34
"27","Tabasco",2,170,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0
"27","Tabasco",3,102,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"28","Tamaulipas",1,258,89,89,89,88,88,88,215,215,215,258,100,100,100,129,129,129
"28","Tamaulipas",2,430,50,50,50,176,176,176,87,87,87,430,2,2,2,129,129,129
"28","Tamaulipas",3,258,15,15,15,0,0,0,0,0,0,43,0,0,0,0,0,0
"29","Tlaxcala",1,360,257,257,257,240,240,240,60,60,60,360,164,164,164,344,344,344
"29","Tlaxcala",2,600,600,600,600,600,600,600,0,0,0,600,401,401,401,401,401,401
"29","Tlaxcala",3,360,309,309,309,252,252,252,0,0,0,60,0,0,0,0,0,0
"30","Veracruz",1,1272,3,3,3,3,3,3,424,424,424,1272,170,170,170,207,207,207
"30","Veracruz",2,2120,214,214,214,214,214,214,0,0,0,2120,0,0,0,0,0,0
"30","Veracruz",3,1272,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0
"31","Yucatán",1,636,0,0,0,106,106,106,425,425,425,636,0,0,0,16,16,16
"31","Yucatán",2,1060,0,0,0,0,0,0,0,0,0,1060,106,106,106,113,113,113
"31","Yucatán",3,636,212,212,212,0,0,0,0,0,0,106,0,0,0,0,0,0
"32","Zacatecas",1,348,0,0,0,0,0,0,0,0,0,348,314,314,314,314,314,314
"32","Zacatecas",2,580,0,0,0,0,0,0,2,2,2,580,580,580,580,580,580,580
"32","Zacatecas",3,348,0,0,0,0,0,0,1,1,1,58,0,0,0,0,0,0
