"edo","entidad","tot_s","min_a","max_a","mean_a","std_a","min_d","max_d","mean_d","std_d","min_e","max_e","mean_e","std_e","tot_c","min_td","max_td","mean_td","std_td","min_h","max_h","mean_h","sth_h"
"01","Aguascalientes",22,5,7,5.91,0.94,3,3,3,0,0,0,0,0,17,5,6,5.64,0.5,7,8,7.64,0.5
"02","Baja California",22,0,10,2.2,4.38,6,7,6.2,0.45,0,2,0.4,0.89,17,2,8,4.4,3.29,4,8,5.6,2.19
"03","Baja California Sur",22,0,5,2.2,2.17,1,4,2.2,1.64,0,0,0,0,17,0,0,0,0,5,5,5,0
"04","Campeche",22,0,0,0,0,0,0,0,0,0,16,1.73,4.76,17,0,0,0,0,4,4,4,0
"05","Coahuila",22,3,14,4.63,2.29,6,9,7.21,1.04,18,20,18.92,0.54,17,17,17,17,0,17,17,17,0
"06","Colima",22,0,4,1.6,1.78,1,2,1.2,0.42,1,1,1,0,17,3,4,3.5,0.53,4,4,4,0
"07","Chiapas",22,5,22,6.05,3.5,0,22,1.22,4.45,8,22,13.46,3.36,17,0,17,0.92,3.45,3,17,3.63,2.77
"08","Chihuahua",22,0,1,0.01,0.12,0,0,0,0,0,12,0.96,2.68,17,0,9,0.97,2.11,2,10,2.84,1.84
"09","CDMX",22,2,2,2,0,22,22,22,0,19,19,19,0,17,0,0,0,0,0,0,0,0
"10","Durango",22,2,10,4.36,2.03,3,6,3.62,1.09,0,8,1.15,2.22,17,3,15,9.56,2.7,3,15,9.69,2.74
"11","Guanajuato",22,0,12,1.2,2.66,18,18,18,0,0,0,0,0,17,0,0,0,0,3,3,3,0
"12","Guerrero",22,2,16,9.17,5.61,8,18,12.46,2.49,2,12,7.93,1.34,17,1,3,1.09,0.39,1,4,1.1,0.46
"13","Hidalgo",22,5,20,11.64,4.69,3,12,9.5,3.02,2,5,3.29,0.69,17,5,11,9.61,2.53,6,11,9.83,2.11
"14","Jalisco",22,0,19,8.67,5.43,6,22,17.44,3.59,2,10,3.59,3.05,17,5,14,12.28,2.18,5,14,12.54,1.81
"15","Estado de México",22,1,7,2.31,1.23,14,18,15.54,1.03,2,9,2.84,1.18,17,0,6,0.28,0.83,1,7,1.28,0.83
"16","Michoacán",22,2,20,17.68,1.69,8,21,20.62,1.47,1,11,1.56,2.03,17,1,2,1.69,0.46,1,2,1.69,0.46
"17","Morelos",22,4,13,11.33,1.59,15,18,15.09,0.52,1,2,1.94,0.24,17,5,5,5,0,7,7,7,0
"18","Nayarit",22,1,14,4.65,4.48,0,0,0,0,0,0,0,0,17,0,1,0.1,0.31,1,2,1.1,0.31
"19","Nuevo León",22,7,7,7,0,15,17,15.39,0.75,19,19,19,0,17,1,10,6.45,4.42,1,10,6.45,4.42
"20","Oaxaca",22,0,22,5.13,4.1,0,22,4.78,4.84,13,22,13.45,1.96,17,0,17,1.46,3.79,1,17,2.41,3.59
"21","Puebla",22,1,12,1.33,1.27,0,1,0.06,0.25,9,14,9.82,1.51,17,0,2,1.76,0.64,1,3,1.89,0.34
"22","Querétaro",22,1,19,2.28,4.34,2,10,6.89,2.03,12,12,12,0,17,0,5,3.06,2.51,2,6,4.44,2.01
"23","Quintana Roo",22,1,18,4.09,6.41,0,21,3.36,7.57,1,21,7.73,5.78,17,0,17,3.09,6.88,0,17,3.82,6.52
"24","San Luis Potosí",22,5,10,6.5,1.81,10,10,10,0,5,13,5.38,1.6,17,1,5,2.84,1.53,4,6,4.45,0.6
"25","Sinaloa",22,0,5,1.44,1.69,2,3,2.5,0.51,17,17,17,0,17,0,0,0,0,1,1,1,0
"26","Sonora",22,8,8,8,0,4,4,4,0,17,17,17,0,17,1,2,1.03,0.17,1,2,1.06,0.23
"27","Tabasco",22,0,0,0,0,0,0,0,0,0,2,0.47,0.62,17,2,2,2,0,2,2,2,0
"28","Tamaulipas",22,3,13,3.58,1.92,6,11,6.14,0.77,7,8,7.02,0.15,17,2,4,2.37,0.54,6,6,6,0
"29","Tlaxcala",22,17,21,19.43,1.05,17,20,18.2,0.75,1,1,1,0,17,1,11,9.42,3.52,4,14,12.42,3.52
"30","Veracruz",22,1,3,1.02,0.18,1,2,1.02,0.15,2,2,2,0,17,0,1,0.8,0.4,0,1,0.98,0.15
"31","Yucatán",22,2,2,2,0,1,1,1,0,4,5,4.01,0.1,17,1,1,1,0,1,4,1.22,0.77
"32","Zacatecas",22,0,0,0,0,0,0,0,0,0,2,0.05,0.29,17,14,16,15.41,0.9,14,16,15.41,0.9
