"muniYear","state","muni","year","Winner2","PAN","PRI","PRD","nulos","noreg","total","win_state","wintop_state","win","win_top","prevyear","difY","inc","inc_top","conco","PRI_ofi","PAN_ofi","PRD_ofi","edo_year","PAN.s","PRI.s","PRD.s","inc.share","inc.share.lag","inc.ch","IM","POB_TOT","ch.agua","ch.dren","ch.elec","ch.del","ch.hom","alt"
"01001_1995",1,1001,1995,"PAN",92863,56775,13814,3810,0,174344,"PRI","PRI","PAN","PAN",1992,3,"PRI","PRI",0,1,0,0,"01_1995",0.532642362226403,0.325649291056761,0.079234157757078,32.5649291056761,66.9379679221899,-34.3730388165138,-1.735,582827,NA,NA,NA,NA,NA,1
"01001_1998",1,1001,1998,"PAN",130616,88917,17014,3707,35,243515,"PRI","PRI","PAN","PAN",1995,3,"PAN","PAN",0,1,0,0,"01_1998",0.536377635874587,0.365139724452292,0.0698683859310515,53.6377635874587,32.5649291056761,21.0728344817825,-1.81536544350787,618461,-7.94063019629872,3.89676136460572,6.4088934206216,NA,NA,0
"01001_2001",1,1001,2001,"PAN",79398,54100,11046,15746,306,159520,"PAN","PAN","PAN","PAN",1998,3,"PAN","PAN",1,0,1,0,"01_2001",0.497730692076229,0.339142427281846,0.0692452357071214,49.7730692076229,53.6377635874587,-3.86469437983581,-1.86293069648294,658609,5.94651176435503,7.47451348099105,6.81737588047888,NA,NA,0
"01001_2004",1,1001,2004,"PAN",111892,107671,9952,5274,98,229515,"PAN","PAN","PAN","PAN",2001,3,"PAN","PAN",1,0,1,0,"01_2004",0.487514977234603,0.46912402239505,0.0433610003703462,48.7514977234603,49.7730692076229,-1.02157148416253,-1.83893099537606,706366,10.3255145794632,-7.25119152638363,7.40220024052642,6.04966389334126,-498.18381981982,0
"01001_2007",1,1001,2007,"PRI",63535,69266,8771,7896,380,201006,"PAN","PAN","PRI","PRI",2004,3,"PAN","PAN",0,0,1,0,"01_2007",0.316085091987304,0.344596678706108,0.0436355133677602,31.6085091987304,48.7514977234603,-17.14298852473,-1.84497868891312,668981,NA,NA,17.4112997597783,29.5752575069335,-593.989635514019,1
"01001_2010",1,1001,2010,"PRI_PVEM_PNA",93845,150554,4706,6497,389,266832,"PAN","PAN","PRI","PRI",2007,3,"PRI","PRI",0,0,1,0,"01_2010",0.351700695568747,0.56422767883912,0.0176365653294957,56.422767883912,31.6085091987304,24.8142586851816,-1.768,797010,NA,NA,-12.4252030806858,-14.4552093096021,-404.615798816568,0
"01001_2013",1,1001,2013,"PAN_PRD",0,88095,0,10267,592,239292,"PRI_PVEM_PNA","PRI","PAN","PAN",2010,3,"PRI","PRI",0,1,0,0,"01_2013",0,0.368148538187654,0,36.8148538187654,56.422767883912,-19.6079140651466,-1.81196097424889,681509,NA,27.4803772136334,20.751963429642,NA,NA,1
"01002_1995",1,1002,1995,"PRI",2699,5612,609,253,0,9278,"PRI","PRI","PRI","PRI",1992,3,"PRI","PRI",1,1,0,0,"01_1995",0.290903211899116,0.604871739599051,0.0656391463677517,60.4871739599051,67.6145535825158,-7.12737962261069,-0.709,35762,NA,NA,NA,NA,NA,0
"01002_1998",1,1002,1998,"PAN",5826,5519,668,324,2,12262,"PRI","PRI","PAN","PAN",1995,3,"PRI","PRI",0,1,0,0,"01_1998",0.47512640678519,0.450089708041103,0.0544772467786658,45.0089708041103,60.4871739599051,-15.4782031557949,-0.631111657609903,36950,-0.343793368588465,-1.21335039244711,16.4433772971947,NA,NA,1
"01002_2001",1,1002,2001,"PRI",3572,4064,510,1194,2,11906,"PAN","PAN","PRI","PRI",1998,3,"PAN","PAN",0,1,0,0,"01_2001",0.300016798252982,0.341340500587939,0.0428355451033093,30.0016798252982,45.0089708041103,-15.0072909788121,-0.591028761398231,38304,-1.02965893750432,-1.59112313937757,14.6225851257622,NA,NA,1
